Gene,Description,Function_Summary,KEGG_Terms,GO_Terms
HSP78,"Enables ATP hydrolysis activity and misfolded protein binding activity. Involved in several processes, including protein refolding; protein stabilization; and protein unfolding. Located in mitochondrial matrix. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Jul 2025]","Enables ATP hydrolysis activity and misfolded protein binding activity. Involved in several processes, including protein refolding; protein stabilization; and protein unfolding. Located in mitochondrial matrix. Human ortholog(s) of this gene implicated in 3-methylglutaconic aciduria type 7a; 3-methylglutaconic aciduria type 7b; and severe congenital neutropenia. Orthologous to human CLPB (ClpB family mitochondrial disaggregase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YMR196W,"Predicted to enable Glc3Man9GlcNAc2 oligosaccharide glucosidase activity. Predicted to act upstream of or within oligosaccharide metabolic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2025]","Predicted to enable Glc3Man9GlcNAc2 oligosaccharide glucosidase activity. Predicted to act upstream of or within oligosaccharide metabolic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YDL124W,"Enables aldose reductase (NADPH) activity; alpha-keto amide reductase activity; and alpha-ketoester reductase (NADPH) activity. Involved in cellular response to oxidative stress and ketone metabolic process. Located in cytoplasm; nucleus; and plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]","Enables aldose reductase (NADPH) activity; alpha-keto amide reductase activity; and alpha-ketoester reductase (NADPH) activity. Involved in cellular response to oxidative stress and ketone metabolic process. Located in cytoplasm; nucleus; and plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TPS1,"Enables trehalose-phosphatase activity. Contributes to alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity. Involved in cellular response to desiccation and trehalose biosynthetic process. Located in cytoplasm. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]","Enables trehalose-phosphatase activity. Contributes to alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity. Involved in cellular response to desiccation and trehalose biosynthetic process. Located in cytoplasm. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TPS2,"Enables trehalose-phosphatase activity. Involved in cellular response to nitrogen starvation; positive regulation of autophagy; and trehalose biosynthetic process. Located in mitochondrion. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]","Enables trehalose-phosphatase activity. Involved in cellular response to nitrogen starvation; positive regulation of autophagy; and trehalose biosynthetic process. Located in mitochondrion. Part of alpha,alpha-trehalose-phosphate synthase complex (UDP-forming). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SSA4,"Enables unfolded protein binding activity. Involved in SRP-dependent cotranslational protein targeting to membrane, translocation and protein folding. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in several diseases, including Kawasaki disease; artery disease (multiple); autoimmune disease of musculoskeletal system (multiple); neurodegenerative disease (multiple); and schizophrenia (multiple). Orthologous to several human genes including HSPA1L (heat shock protein family A (Hsp70) member 1 like); HSPA1A (heat shock protein family A (Hsp70) member 1A); and HSPA1B (heat shock protein family A (Hsp70) member 1B). [provided by Alliance of Genome Resources, Jul 2025]","Enables unfolded protein binding activity. Involved in SRP-dependent cotranslational protein targeting to membrane, translocation and protein folding. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in several diseases, including Kawasaki disease; artery disease (multiple); autoimmune disease of musculoskeletal system (multiple); neurodegenerative disease (multiple); and schizophrenia (multiple). Orthologous to several human genes including HSPA1L (heat shock protein family A (Hsp70) member 1 like); HSPA1A (heat shock protein family A (Hsp70) member 1A); and HSPA1B (heat shock protein family A (Hsp70) member 1B). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YBR139W,"Enables serine-type carboxypeptidase activity. Involved in several processes, including cellular response to nitrogen starvation; phytochelatin biosynthetic process; and zymogen activation. Located in fungal-type vacuole lumen. Is active in vacuolar lumen. Human ortholog(s) of this gene implicated in galactosialidosis and lysosomal storage disease. Orthologous to human CTSA (cathepsin A). [provided by Alliance of Genome Resources, Jul 2025]","Enables serine-type carboxypeptidase activity. Involved in several processes, including cellular response to nitrogen starvation; phytochelatin biosynthetic process; and zymogen activation. Located in fungal-type vacuole lumen. Is active in vacuolar lumen. Human ortholog(s) of this gene implicated in galactosialidosis and lysosomal storage disease. Orthologous to human CTSA (cathepsin A). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TDH1,"Enables glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity and melatonin binding activity. Involved in gluconeogenesis and glycolytic process. Located in several cellular components, including fungal-type cell wall; lipid droplet; and mitochondrion. Human ortholog(s) of this gene implicated in Alzheimer's disease. Orthologous to several human genes including GAPDH (glyceraldehyde-3-phosphate dehydrogenase). [provided by Alliance of Genome Resources, Jul 2025]","Enables glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity and melatonin binding activity. Involved in gluconeogenesis and glycolytic process. Located in several cellular components, including fungal-type cell wall; lipid droplet; and mitochondrion. Human ortholog(s) of this gene implicated in Alzheimer's disease. Orthologous to several human genes including GAPDH (glyceraldehyde-3-phosphate dehydrogenase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
KAR2,"Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in several processes, including fungal-type cell wall beta-glucan biosynthetic process; intracellular protein transmembrane transport; and karyogamy involved in conjugation with cellular fusion. Located in endoplasmic reticulum. Part of luminal surveillance complex. Human ortholog(s) of this gene implicated in dopamine beta-hydroxylase deficiency. Orthologous to human HSPA5 (heat shock protein family A (Hsp70) member 5). [provided by Alliance of Genome Resources, Jul 2025]","Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in several processes, including fungal-type cell wall beta-glucan biosynthetic process; intracellular protein transmembrane transport; and karyogamy involved in conjugation with cellular fusion. Located in endoplasmic reticulum. Part of luminal surveillance complex. Human ortholog(s) of this gene implicated in dopamine beta-hydroxylase deficiency. Orthologous to human HSPA5 (heat shock protein family A (Hsp70) member 5). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ASK10,"Enables channel regulator activity. Involved in cellular response to oxidative stress; positive regulation of glycerol transport; and protein catabolic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]","Enables channel regulator activity. Involved in cellular response to oxidative stress; positive regulation of glycerol transport; and protein catabolic process. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SDS24,"Predicted to enable protein serine/threonine phosphatase inhibitor activity. Involved in endocytosis and septum digestion after cytokinesis. Located in cytosol. [provided by Alliance of Genome Resources, Jul 2025]","Predicted to enable protein serine/threonine phosphatase inhibitor activity. Involved in endocytosis and septum digestion after cytokinesis. Located in cytosol. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
MCR1,"Enables cytochrome-b5 reductase activity, acting on NAD(P)H. Involved in cellular response to oxidative stress and ergosterol biosynthetic process. Located in mitochondrial intermembrane space and mitochondrial outer membrane. Orthologous to human CYB5RL (cytochrome b5 reductase like). [provided by Alliance of Genome Resources, Jul 2025]","Enables cytochrome-b5 reductase activity, acting on NAD(P)H. Involved in cellular response to oxidative stress and ergosterol biosynthetic process. Located in mitochondrial intermembrane space and mitochondrial outer membrane. Orthologous to human CYB5RL (cytochrome b5 reductase like). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ENO1,"Enables melatonin binding activity and phosphopyruvate hydratase activity. Involved in glycolytic process and regulation of vacuole fusion, non-autophagic. Located in fungal-type vacuole and mitochondrion. Part of phosphopyruvate hydratase complex. Human ortholog(s) of this gene implicated in Alzheimer's disease and prostate cancer. Orthologous to human ENO1 (enolase 1); ENO2 (enolase 2); and ENO3 (enolase 3). [provided by Alliance of Genome Resources, Jul 2025]","Enables melatonin binding activity and phosphopyruvate hydratase activity. Involved in glycolytic process and regulation of vacuole fusion, non-autophagic. Located in fungal-type vacuole and mitochondrion. Part of phosphopyruvate hydratase complex. Human ortholog(s) of this gene implicated in Alzheimer's disease and prostate cancer. Orthologous to human ENO1 (enolase 1); ENO2 (enolase 2); and ENO3 (enolase 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
URH1,"Enables nicotinamide riboside hydrolase activity; nicotinic acid riboside hydrolase activity; and uridine nucleosidase activity. Involved in nucleobase-containing small molecule metabolic process and pyrimidine-containing compound salvage. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]","Enables nicotinamide riboside hydrolase activity; nicotinic acid riboside hydrolase activity; and uridine nucleosidase activity. Involved in nucleobase-containing small molecule metabolic process and pyrimidine-containing compound salvage. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
RGI1,"Involved in energy reserve metabolic process. Located in cell periphery. [provided by Alliance of Genome Resources, Jul 2025]","Involved in energy reserve metabolic process. Located in cell periphery. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GRE3,"Enables D-xylose reductase (NADPH) activity and mRNA binding activity. Involved in cellular response to osmotic stress; cellular response to oxidative stress; and monosaccharide catabolic process. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in 46,XY sex reversal 8; alcohol dependence; congenital bile acid synthesis defect 2; and leukemia (multiple). Orthologous to several human genes including AKR1E2 (aldo-keto reductase family 1 member E2). [provided by Alliance of Genome Resources, Jul 2025]","Enables D-xylose reductase (NADPH) activity and mRNA binding activity. Involved in cellular response to osmotic stress; cellular response to oxidative stress; and monosaccharide catabolic process. Located in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in 46,XY sex reversal 8; alcohol dependence; congenital bile acid synthesis defect 2; and leukemia (multiple). Orthologous to several human genes including AKR1E2 (aldo-keto reductase family 1 member E2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
COS6,"Predicted to be involved in protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway. Located in endosome. [provided by Alliance of Genome Resources, Jul 2025]","Predicted to be involved in protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway. Located in endosome. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
CIT2,"Enables citrate (Si)-synthase activity. Involved in citrate metabolic process. Located in peroxisome. Human ortholog(s) of this gene implicated in dilated cardiomyopathy and hypertrophic cardiomyopathy. Orthologous to human CS (citrate synthase). [provided by Alliance of Genome Resources, Apr 2025]","Enables citrate (Si)-synthase activity. Involved in citrate metabolic process. Located in peroxisome. Human ortholog(s) of this gene implicated in dilated cardiomyopathy and hypertrophic cardiomyopathy. Orthologous to human CS (citrate synthase). [provided by Alliance of Genome Resources, Apr 2025]",N/A,N/A
YOL153C,N/A,N/A,N/A,N/A
HSP42,"Enables protein sequestering activity. Involved in cytoskeleton organization. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]","Enables protein sequestering activity. Involved in cytoskeleton organization. Located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NCE103,"Enables carbonate dehydratase activity. Involved in cellular response to carbon dioxide and cellular response to oxidative stress. Located in mitochondrial intermembrane space. [provided by Alliance of Genome Resources, Jul 2025]","Enables carbonate dehydratase activity. Involved in cellular response to carbon dioxide and cellular response to oxidative stress. Located in mitochondrial intermembrane space. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
NTH1,"Predicted to enable alpha,alpha-trehalase activity. Involved in cellular response to desiccation and trehalose catabolic process. Located in cytoplasm. Orthologous to human TREH (trehalase). [provided by Alliance of Genome Resources, Jul 2025]","Predicted to enable alpha,alpha-trehalase activity. Involved in cellular response to desiccation and trehalose catabolic process. Located in cytoplasm. Orthologous to human TREH (trehalase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PIC2,"Enables copper ion transmembrane transporter activity and phosphate transmembrane transporter activity. Involved in copper ion transmembrane transport; intracellular copper ion homeostasis; and phosphate ion transmembrane transport. Located in mitochondrion. Used to study mitochondrial metabolism disease. Orthologous to human SLC25A3 (solute carrier family 25 member 3). [provided by Alliance of Genome Resources, Jul 2025]","Enables copper ion transmembrane transporter activity and phosphate transmembrane transporter activity. Involved in copper ion transmembrane transport; intracellular copper ion homeostasis; and phosphate ion transmembrane transport. Located in mitochondrion. Used to study mitochondrial metabolism disease. Orthologous to human SLC25A3 (solute carrier family 25 member 3). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HSP26,"Enables mRNA binding activity and unfolded protein binding activity. Involved in cellular response to heat and protein folding. Located in cytoplasmic stress granule and nucleus. [provided by Alliance of Genome Resources, Jul 2025]","Enables mRNA binding activity and unfolded protein binding activity. Involved in cellular response to heat and protein folding. Located in cytoplasmic stress granule and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
PIN3,"Involved in negative regulation of Arp2/3 complex-mediated actin nucleation. Located in actin cortical patch. Human ortholog(s) of this gene implicated in breast cancer; prostate adenocarcinoma; and prostate cancer. Orthologous to human SH3D19 (SH3 domain containing 19) and GRB2 (growth factor receptor bound protein 2). [provided by Alliance of Genome Resources, Jul 2025]","Involved in negative regulation of Arp2/3 complex-mediated actin nucleation. Located in actin cortical patch. Human ortholog(s) of this gene implicated in breast cancer; prostate adenocarcinoma; and prostate cancer. Orthologous to human SH3D19 (SH3 domain containing 19) and GRB2 (growth factor receptor bound protein 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
CYB2,"Enables L-lactate dehydrogenase (cytochrome) activity. Involved in lactate metabolic process. Located in mitochondrial intermembrane space. Orthologous to human HAO1 (hydroxyacid oxidase 1) and HAO2 (hydroxyacid oxidase 2). [provided by Alliance of Genome Resources, Jul 2025]","Enables L-lactate dehydrogenase (cytochrome) activity. Involved in lactate metabolic process. Located in mitochondrial intermembrane space. Orthologous to human HAO1 (hydroxyacid oxidase 1) and HAO2 (hydroxyacid oxidase 2). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
YNL134C,"Enables aldehyde dehydrogenase (NAD+) activity. Involved in response to furfural. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]","Enables aldehyde dehydrogenase (NAD+) activity. Involved in response to furfural. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GLC3,"Enables 1,4-alpha-glucan branching enzyme activity. Involved in glycogen biosynthetic process. Located in cytoplasm. Used to study glycogen storage disease IV. Human ortholog(s) of this gene implicated in glycogen storage disease IV and pulmonary tuberculosis. Orthologous to human GBE1 (1,4-alpha-glucan branching enzyme 1). [provided by Alliance of Genome Resources, Jul 2025]","Enables 1,4-alpha-glucan branching enzyme activity. Involved in glycogen biosynthetic process. Located in cytoplasm. Used to study glycogen storage disease IV. Human ortholog(s) of this gene implicated in glycogen storage disease IV and pulmonary tuberculosis. Orthologous to human GBE1 (1,4-alpha-glucan branching enzyme 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
AIM17,"Predicted to enable dioxygenase activity and metal ion binding activity. Involved in mitochondrion organization. Located in mitochondrion. Human ortholog(s) of this gene implicated in autistic disorder. Orthologous to several human genes including BBOX1 (gamma-butyrobetaine hydroxylase 1). [provided by Alliance of Genome Resources, Jul 2025]","Predicted to enable dioxygenase activity and metal ion binding activity. Involved in mitochondrion organization. Located in mitochondrion. Human ortholog(s) of this gene implicated in autistic disorder. Orthologous to several human genes including BBOX1 (gamma-butyrobetaine hydroxylase 1). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
TSL1,"Enables GTPase activator activity. Involved in actin cytoskeleton organization; mitotic morphogenesis checkpoint signaling; and negative regulation of Rho protein signal transduction. Located in several cellular components, including cellular bud tip; incipient cellular bud site; and mating projection tip. Human ortholog(s) of this gene implicated in Duane retraction syndrome 2. Orthologous to several human genes including ARHGAP12 (Rho GTPase activating protein 12); ARHGAP15 (Rho GTPase activating protein 15); and ARHGAP27 (Rho GTPase activating protein 27). [provided by Alliance of Genome Resources, Jul 2025]","Enables GTPase activator activity. Involved in actin cytoskeleton organization; mitotic morphogenesis checkpoint signaling; and negative regulation of Rho protein signal transduction. Located in several cellular components, including cellular bud tip; incipient cellular bud site; and mating projection tip. Human ortholog(s) of this gene implicated in Duane retraction syndrome 2. Orthologous to several human genes including ARHGAP12 (Rho GTPase activating protein 12); ARHGAP15 (Rho GTPase activating protein 15); and ARHGAP27 (Rho GTPase activating protein 27). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HSP30,"Involved in negative regulation of ATP-dependent activity. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]","Involved in negative regulation of ATP-dependent activity. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
HOR7,"Involved in plasma membrane organization. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]","Involved in plasma membrane organization. Located in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
GSC2,"Enables 1,3-beta-D-glucan synthase activity. Involved in (1->3)-beta-D-glucan biosynthetic process and ascospore wall assembly. Located in prospore membrane. Part of 1,3-beta-D-glucan synthase complex. [provided by Alliance of Genome Resources, Jul 2025]","Enables 1,3-beta-D-glucan synthase activity. Involved in (1->3)-beta-D-glucan biosynthetic process and ascospore wall assembly. Located in prospore membrane. Part of 1,3-beta-D-glucan synthase complex. [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
CPR6,"Enables peptidyl-prolyl cis-trans isomerase activity; ribosome binding activity; and unfolded protein binding activity. Involved in protein refolding. Located in cytoplasm. Orthologous to human PPID (peptidylprolyl isomerase D). [provided by Alliance of Genome Resources, Jul 2025]","Enables peptidyl-prolyl cis-trans isomerase activity; ribosome binding activity; and unfolded protein binding activity. Involved in protein refolding. Located in cytoplasm. Orthologous to human PPID (peptidylprolyl isomerase D). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
SSA3,"Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in SRP-dependent cotranslational protein targeting to membrane, translocation; protein folding; and protein quality control for misfolded or incompletely synthesized proteins. Located in cytosol. Human ortholog(s) of this gene implicated in several diseases, including Kawasaki disease; artery disease (multiple); autoimmune disease of musculoskeletal system (multiple); neurodegenerative disease (multiple); and schizophrenia (multiple). Orthologous to several human genes including HSPA1L (heat shock protein family A (Hsp70) member 1 like); HSPA1A (heat shock protein family A (Hsp70) member 1A); and HSPA1B (heat shock protein family A (Hsp70) member 1B). [provided by Alliance of Genome Resources, Jul 2025]","Enables ATP hydrolysis activity and unfolded protein binding activity. Involved in SRP-dependent cotranslational protein targeting to membrane, translocation; protein folding; and protein quality control for misfolded or incompletely synthesized proteins. Located in cytosol. Human ortholog(s) of this gene implicated in several diseases, including Kawasaki disease; artery disease (multiple); autoimmune disease of musculoskeletal system (multiple); neurodegenerative disease (multiple); and schizophrenia (multiple). Orthologous to several human genes including HSPA1L (heat shock protein family A (Hsp70) member 1 like); HSPA1A (heat shock protein family A (Hsp70) member 1A); and HSPA1B (heat shock protein family A (Hsp70) member 1B). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
ARG4,"Enables argininosuccinate lyase activity. Involved in L-arginine biosynthetic process via ornithine. Located in cytosol. Human ortholog(s) of this gene implicated in amino acid metabolic disorder and argininosuccinic aciduria. Orthologous to human ASL (argininosuccinate lyase). [provided by Alliance of Genome Resources, Jul 2025]","Enables argininosuccinate lyase activity. Involved in L-arginine biosynthetic process via ornithine. Located in cytosol. Human ortholog(s) of this gene implicated in amino acid metabolic disorder and argininosuccinic aciduria. Orthologous to human ASL (argininosuccinate lyase). [provided by Alliance of Genome Resources, Jul 2025]",N/A,N/A
